approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,german_train_calibration_1.csv,1,SP,0.14,502,1,2,0,10800,2,367,0.731075697,0,105924,2030.725214,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.15,502,1,2,0,10800,2,367,0.731075697,0,179820,3701.978158,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.16,502,1,2,0,10800,2,367,0.731075697,0,169281,4037.288831,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.17,502,1,2,0,10800,2,367,0.731075697,0,90068,2488.819822,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.18,502,1,2,0,10800,2,367,0.731075697,0,127220,2966.78817,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.19,502,1,2,0,10800,2,367,0.731075697,0,150018,3027.242582,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.1,502,1,2,0,10800,2,365,0.727091633,0,103169,4406.601828,0.702811245,0.710843373,0.105702174,0.058674546,0.177405119,0.165048544,0.180926916,0.117647059,0.85,0.875,0.888888889,0.5,0.9,0.333333333,0.144654088,0.3,0.333333333,0.075757576,0.121212121,0.078947368,0.144654088,0.3,0.333333333
FlowOCT,german_train_calibration_1.csv,1,SP,0.21,502,1,2,0,10800,2,367,0.731075697,0,128183,2458.017156,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.22,502,1,2,0,10800,2,367,0.731075697,0,137933,3129.361222,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.23,502,1,2,0,10800,2,367,0.731075697,0,152516,2521.566386,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
FlowOCT,german_train_calibration_1.csv,1,SP,0.24,502,1,2,0,10800,2,367,0.731075697,0,100070,3940.113577,0.714859438,0.751004016,0.105702174,0.124311084,0.177405119,0.04040404,0.180926916,0.134581105,0.85,0.666666667,0.888888889,0.888888889,0.9,0.9,0.111111111,0.153846154,0.209401709,0.132075472,0.053272451,0.123076923,0.132075472,0.153846154,0.209401709
