approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,7200,9,-19995,0.552079974,5.056264066,1004,7205.903819,0.587815943,0.556282723,3,0.8,0.009993754,0.8125,0.008739076,0.438650612,0.016817594
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,7200,9,-19946,0.567881329,5.123834353,1025,7205.432911,0.609202852,0.576570681,3,0.8,0.039975016,0.8125,0.047440699,0.438650612,0.050452781
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,7200,9,-19879,0.589487262,4.990190653,1589,7205.492949,0.61309138,0.596204188,3,0.8,0.092442224,0.8125,0.084893883,0.438650612,0.094437257
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,7200,9,-19696,0.648500484,4.737002437,1278,7205.368525,0.653272845,0.662303665,3,0.8,0.185385146,0.8125,0.5,0.438650612,0.219074314
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,7200,9,-19575,0.687520155,4.837803321,1660,7205.49718,0.670771225,0.653141361,3,0.8,0.274640849,0.8125,0.52184769,0.438650612,0.393372475
FlowOCT,compas_enc.csv,SP,0.01,3101,1,0,7200,2,-7525,0.573363431,0,39,417.6890841,0.540505509,0.55104712,4,0.56043956,0.006957622,0.765306122,0.007556675,0.350114943,0.00875
FlowOCT,compas_enc.csv,SP,0.05,3101,1,0,7200,2,-7488,0.585295066,0,42,486.1625381,0.547634478,0.564136126,4,0.56043956,0.029095509,0.765306122,0.5,0.350114943,0.0325
FlowOCT,compas_enc.csv,SP,0.1,3101,1,0,7200,2,-7488,0.585295066,0,48,253.2407348,0.547634478,0.564136126,4,0.56043956,0.029095509,0.765306122,0.5,0.350114943,0.0325
FlowOCT,compas_enc.csv,SP,0.2,3101,1,0,7200,2,-7323,0.638503708,0,30,1117.601748,0.611795204,0.617146597,4,0.56043956,0.142857143,0.765306122,0.5,0.350114943,0.1475
FlowOCT,compas_enc.csv,SP,0.3,3101,1,0,7200,2,-7175,0.686230248,0,39,342.7624707,0.672067401,0.678010471,4,0.56043956,0.20992562,0.765306122,0.37755102,0.350114943,0.5
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,7200,9,-19926,0.574330861,4.667268895,779,7207.146705,0.540505509,0.552356021,4,0.56043956,0.009487666,0.765306122,0.5,0.350114943,0.015
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,7200,9,-19851,0.598516608,4.553926754,1158,7205.944227,0.565132858,0.57526178,4,0.56043956,0.048070841,0.765306122,0.5,0.350114943,0.045
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,7200,9,-19782,0.620767494,4.665857851,792,7205.792253,0.608554763,0.615183246,4,0.56043956,0.084063924,0.765306122,0.181818182,0.350114943,0.5
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,7200,9,-19585,0.684295389,4.42175134,1096,7205.766585,0.669475049,0.676701571,4,0.56043956,0.186611466,0.765306122,0.35840708,0.350114943,0.5
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,7200,9,-19461,0.72428249,4.259801655,1877,7205.479862,0.725858717,0.742801047,4,0.56043956,0.290782953,0.765306122,0.71047619,0.350114943,0.429642857
FlowOCT,compas_enc.csv,SP,0.01,3101,1,0,7200,2,-7580,0.555627217,0,39,1249.972352,0.55411536,0.573298429,5,0.648809524,0.006373486,0.583030303,0.006060606,0.65,0.011523688
FlowOCT,compas_enc.csv,SP,0.05,3101,1,0,7200,2,-7580,0.555627217,0,48,1582.068233,0.55411536,0.573298429,5,0.648809524,0.006373486,0.583030303,0.006060606,0.65,0.011523688
FlowOCT,compas_enc.csv,SP,0.1,3101,1,0,7200,2,-7580,0.555627217,0,54,771.8814416,0.55411536,0.573298429,5,0.648809524,0.006373486,0.583030303,0.006060606,0.65,0.011523688
FlowOCT,compas_enc.csv,SP,0.2,3101,1,0,7200,2,-7280,0.652370203,0,31,431.3016999,0.659105638,0.679319372,5,0.648809524,0.188234089,0.583030303,0.557575758,0.65,0.301920615
FlowOCT,compas_enc.csv,SP,0.3,3101,1,0,7200,2,-7280,0.652370203,0,29,330.8928983,0.659105638,0.679319372,5,0.648809524,0.188234089,0.583030303,0.557575758,0.65,0.301920615
FlowOCT,compas_enc.csv,SP,0.01,3101,2,0,7200,9,-19982,0.55627217,4.88940046,1295,7205.135787,0.556707712,0.573298429,5,0.648809524,0.006445672,0.583030303,0.010080645,0.65,0.011523688
FlowOCT,compas_enc.csv,SP,0.05,3101,2,0,7200,9,-19915,0.577878104,4.895807181,1038,7205.639779,0.58198315,0.60013089,5,0.648809524,0.049075844,0.583030303,0.054545455,0.65,0.25
FlowOCT,compas_enc.csv,SP,0.1,3101,2,0,7200,9,-19810,0.611738149,4.719838465,1039,7205.602771,0.626053143,0.626963351,5,0.648809524,0.097833015,0.583030303,0.272727273,0.65,0.15
FlowOCT,compas_enc.csv,SP,0.2,3101,2,0,7200,9,-19622,0.672363754,4.642747936,922,7206.311549,0.699935191,0.701570681,5,0.648809524,0.183936702,0.583030303,0.418181818,0.65,0.4
FlowOCT,compas_enc.csv,SP,0.3,3101,2,0,7200,9,-19587,0.683650435,4.870577424,1906,7206.14212,0.692806222,0.704188482,5,0.648809524,0.232142857,0.583030303,0.490909091,0.65,0.193741357
