approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_train_calibration_1.csv,1,SP,0.14,3086,1,2,0,10800,2,2037,0.660077771,0,4358,2607.511151,0.658884565,0.656088083,0.098347426,0.126948244,0.095327996,0.137154095,0.097800391,0.127244808,0.065686275,0.076960784,0.063419118,0.147518382,0.063419118,0.075367647,0.077546041,0.08772616,0.079583034,0.128046327,0.140620106,0.128274501,0.128046327,0.140620106,0.128274501
FlowOCT,compas_train_calibration_1.csv,1,SP,0.15,3086,1,2,0,10800,2,2049,0.663966299,0,3734,1868.23611,0.671206226,0.670336788,0.098347426,0.143610975,0.095327996,0.166602051,0.097800391,0.155295461,0.065686275,0.097404971,0.063419118,0.126102941,0.063419118,0.124031008,0.105917897,0.130018833,0.091546849,0.123619767,0.144339179,0.168486648,0.123619767,0.144339179,0.168486648
FlowOCT,compas_train_calibration_1.csv,1,SP,0.16,3086,1,2,0,10800,2,2054,0.66558652,0,4429,3006.646807,0.669909209,0.669689119,0.098347426,0.154368952,0.095327996,0.152903498,0.097800391,0.155140598,0.065686275,0.157510155,0.063419118,0.150183843,0.063419118,0.158651119,0.088403536,0.08562025,0.070740474,0.171605241,0.171742875,0.195825438,0.171605241,0.171742875,0.195825438
FlowOCT,compas_train_calibration_1.csv,1,SP,0.17,3086,1,2,0,10800,2,2062,0.668178872,0,4133,2854.511991,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.18,3086,1,2,0,10800,2,2062,0.668178872,0,4145,2379.245586,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.19,3086,1,2,0,10800,2,2062,0.668178872,0,4011,2010.814644,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.1,3086,1,2,0,10800,2,2031,0.658133506,0,4841,4896.279089,0.659533074,0.642487047,0.098347426,0.077240583,0.095327996,0.087141452,0.097800391,0.06938777,0.065686275,0.580882353,0.063419118,0.573529412,0.063419118,0.558823529,0.055843041,0.068087052,0.013779056,0.038258821,0.046742875,0.084458206,0.055843041,0.068087052,0.084458206
FlowOCT,compas_train_calibration_1.csv,1,SP,0.21,3086,1,2,0,10800,2,2062,0.668178872,0,4031,2084.925785,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.22,3086,1,2,0,10800,2,2062,0.668178872,0,3607,2008.787063,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.23,3086,1,2,0,10800,2,2062,0.668178872,0,3663,2179.972716,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.24,3086,1,2,0,10800,2,2062,0.668178872,0,4126,1448.824821,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.25,3086,1,2,0,10800,2,2062,0.668178872,0,3611,2361.995934,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.26,3086,1,2,0,10800,2,2062,0.668178872,0,4127,2312.330193,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.27,3086,1,2,0,10800,2,2062,0.668178872,0,4126,2569.737756,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.28,3086,1,2,0,10800,2,2062,0.668178872,0,3287,1587.764039,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.29,3086,1,2,0,10800,2,2062,0.668178872,0,4425,2271.853865,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
FlowOCT,compas_train_calibration_1.csv,1,SP,0.2,3086,1,2,0,10800,2,2062,0.668178872,0,3460,1889.746108,0.679636835,0.674870466,0.098347426,0.163031815,0.095327996,0.168731563,0.097800391,0.168507293,0.065686275,0.154696637,0.063419118,0.175081699,0.063419118,0.217215762,0.120136794,0.119519371,0.090965732,0.153413162,0.164520044,0.203453732,0.153413162,0.164520044,0.203453732
