Approach,train_file_name,test_file_name,kamiran_version,N_train,depth,lambda,time_limit,obj_val,gap,train_acc,train_data_didi,train_pred_didi,train_data_sp,train_pred_sp,test_acc,test_data_didi,test_pred_didi,test_data_sp,test_pred_sp,calibration_acc,calibration_data_didi,calibration_pred_didi,calibration_data_sp,calibration_pred_sp,tree
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,3,0.26,10800,0.190720211136828,0.8983053066445389,0.7426666666666667,0.2749277082061267,0.0011290192509303,0.1374638541030634,0.0005645096254651,0.68,0.3714495335918666,0.0247353526883974,0.1857247667959333,0.0123676763441987,0.68,0.3714495335918666,0.0247353526883974,0.1857247667959333,0.0123676763441987,"Any[Any[(1, :purpose, ""Any[9, 10]""), (2, :saving_amo, ""Any[1]""), (3, :purpose, ""Any[1, 6, 8]""), (4, :present_resident, 2.0), (5, :present_employmment, ""Any[2]""), (6, :chek_acc, ""Any[3, 4]""), (7, :credit_history, ""Any[1]"")], Any[(1, 1.0), (2, -0.0), (3, -0.0), (4, 1.0), (5, 1.0), (6, -0.0), (7, -0.0), (8, 1.0)]]"
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,3,0.32,10800,0.1786796920158338,0.9002536511215208,0.7373333333333333,0.2749277082061267,0.0002073708828238,0.1374638541030634,0.0001036854414119,0.688,0.3714495335918666,0.0255738392202075,0.1857247667959333,0.0127869196101038,0.688,0.3714495335918666,0.0255738392202075,0.1857247667959333,0.0127869196101038,"Any[Any[(1, :saving_amo, ""Any[1, 3]""), (2, :guatan, ""Any[2]""), (3, :saving_amo, ""Any[3, 5]""), (4, :credit_history, ""Any[1, 2, 4, 5]""), (5, :credit_history, ""Any[3, 4, 5]""), (6, :p_status, ""Any[1, 2]""), (7, :purpose, ""Any[6, 7, 8]"")], Any[(1, 1.0), (2, -0.0), (3, 1.0), (4, -0.0), (5, 1.0), (6, 1.0), (7, -0.0), (8, 1.0)]]"
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.5,10800,0.1506666666666666,0.0,0.6986666666666667,0.2749277082061267,0.0,0.1374638541030634,0.0,0.704,0.3714495335918666,0.0,0.1857247667959333,0.0,0.704,0.3714495335918666,0.0,0.1857247667959333,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_4.csv,german_binary_test_4.csv,0,750,1,0.38,10800,0.1868266666666666,0.0,0.6986666666666667,0.2892588224621246,0.0,0.1446294112310623,0.0,0.704,0.3296557811120917,0.0,0.1648278905560458,0.0,0.704,0.3296557811120917,0.0,0.1648278905560458,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.4,10800,0.1807999999999999,0.0,0.6986666666666667,0.2749277082061267,0.0,0.1374638541030634,0.0,0.704,0.3714495335918666,0.0,0.1857247667959333,0.0,0.704,0.3714495335918666,0.0,0.1857247667959333,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_4.csv,german_binary_test_4.csv,0,750,1,0.04,10800,0.2743936568992102,0.0,0.7173333333333334,0.2892588224621246,0.0758414224802685,0.1446294112310623,0.0379207112401343,0.716,0.3296557811120917,0.0330979699911739,0.1648278905560458,0.0165489849955869,0.716,0.3296557811120917,0.0330979699911739,0.1648278905560458,0.0165489849955869,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_5.csv,german_binary_test_5.csv,0,750,1,0.64,10800,0.1089599999999999,0.0,0.6973333333333334,0.3470403086607778,0.0,0.1735201543303889,0.0,0.708,0.1372879451746994,0.0,0.0686439725873496,0.0,0.708,0.1372879451746994,0.0,0.0686439725873496,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_5.csv,german_binary_test_5.csv,0,750,1,0.58,10800,0.12712,0.0,0.6973333333333334,0.3470403086607778,0.0,0.1735201543303889,0.0,0.708,0.1372879451746994,0.0,0.0686439725873496,0.0,0.708,0.1372879451746994,0.0,0.0686439725873496,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_3.csv,german_binary_test_3.csv,0,750,3,0.88,10800,0.0315180317859267,0.9063300532578769,0.7386666666666667,0.2493490167908772,0.0001795815749303,0.1246745083954385,8.979078746518265e-05,0.684,0.4619963369963369,0.0402930402930403,0.2309981684981684,0.0201465201465201,0.684,0.4619963369963369,0.0402930402930403,0.2309981684981684,0.0201465201465201,"Any[Any[(1, :purpose, ""Any[1, 2, 3, 4, 5]""), (2, :purpose, ""Any[1, 3, 4, 7, 8, 10]""), (3, :chek_acc, ""Any[2]""), (4, :credit_history, ""Any[3, 4, 5]""), (5, :no_people, 1.0), (6, :credit_history, ""Any[1, 4]""), (7, :chek_acc, ""Any[3, 4]"")], Any[(1, 1.0), (2, -0.0), (3, 1.0), (4, 1.0), (5, -0.0), (6, 1.0), (7, 1.0), (8, -0.0)]]"
MIP_DIDI,german_binary_train_4.csv,german_binary_test_4.csv,0,750,2,0.82,10800,0.0494470688560158,0.8975103138207492,0.7306666666666667,0.2892588224621246,0.0011793522634491,0.1446294112310623,0.0005896761317245,0.7,0.3296557811120917,0.0330979699911739,0.1648278905560458,0.0165489849955869,0.7,0.3296557811120917,0.0330979699911739,0.1648278905560458,0.0165489849955869,"Any[Any[(1, :purpose, ""Any[1, 2, 3, 4, 5, 7, 8]""), (2, :credit_history, ""Any[1, 2]""), (3, :Housing, ""Any[1, 3]"")], Any[(1, -0.0), (2, 1.0), (3, -0.0), (4, 1.0)]]"
