approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,7200,2,-7223,0.670751371,0,37,547.2112601,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,1,0,7200,2,-7223,0.670751371,0,35,296.5611596,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,1,0,7200,2,-7223,0.670751371,0,39,159.480365,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,1,0,7200,2,-7220,0.6717188,0,39,27.33305097,0.656513286,0.642670157,3,0.8,0.366666667,0.8125,0.491885144,0.438650612,0.36361827
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,7200,2,-19627,0.670751371,0,1128,3942.251618,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,7200,9,-19627,0.670751371,3.428949916,1025,7207.859947,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,7200,9,-19627,0.670751371,3.591990625,1047,7207.901786,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,7200,9,-19627,0.670751371,0.769348347,3062,7207.17499,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,7200,9,-19621,0.67268623,4.597115336,1609,7208.377814,0.686973428,0.683246073,3,1,0.274509804,1,1,1,0.5
FlowOCT,compas_enc.csv,CSP,0.5,3101,2,0,7200,9,-19627,0.670751371,5.059357008,1985,7207.840506,0.688917693,0.692408377,3,1,1.11E-16,1,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,2,0,7200,2,-19474,0.720090293,0,1276,209.252367,0.731043422,0.740183246,3,0.8,0.537112011,0.8125,0.413575496,0.438650612,0.424811527
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,7200,2,-7175,0.686230248,0,23,386.4504745,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,1,0,7200,2,-7175,0.686230248,0,31,204.4786046,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,1,0,7200,2,-7175,0.686230248,0,31,143.5912192,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,7200,2,-7175,0.686230248,0,33,245.2046928,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,1,0,7200,2,-7175,0.686230248,0,37,367.4480193,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,1,0,7200,2,-7175,0.686230248,0,35,558.5378802,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,1,0,7200,2,-7175,0.686230248,0,31,22.64984298,0.672067401,0.678010471,4,0.56043956,0.20992562,0.765306122,0.37755102,0.350114943,0.5
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,7200,2,-19579,0.686230248,0,1315,4051.187682,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,7200,2,-19579,0.686230248,0,2138,4228.652568,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,7200,9,-19579,0.686230248,3.233055825,994,7208.523789,0.672067401,0.678010471,4,1,0,1,0,1,0
