approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train pred,pe test pred,pe cal pred,EOpp train pred,EOpp test pred,EOpp cal pred, EOdds train pred,EOdds test pred,EOdds cal pred
FlowOCT,compas_enc.csv,CSP,0.19,3101,2,0,10800,2,2031,0.654950016,0,6032,5959.701039,0.685029164,0.655759162,1,0.331754658,0.5375,0.211919699,0.295180723,0.393410853,0.351937984,1,0.186550976,0.5,0.280701754,1,0.462962963,0.5,0.336760925,0.393162393,0.666666667,0.571428571,0.652173913,0.666666667,0.571428571,0.652173913
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,10800,2,1986,0.640438568,0,4621,5380.359724,0.674011666,0.65052356,1,0.331754658,0.5375,0.211919699,0.3,0.393410853,0.281764777,1,0.071428571,0.5,0.06314433,1,0.106060606,0.5,0.311053985,0.381766382,0.666666667,0.666666667,0.299812324,0.666666667,0.666666667,0.381766382
FlowOCT,compas_enc.csv,CSP,0.21,3101,2,0,10800,2,2031,0.654950016,0,7584,5373.978136,0.685029164,0.655759162,1,0.331754658,0.5375,0.211919699,0.295180723,0.393410853,0.351937984,1,0.186550976,0.5,0.280701754,1,0.462962963,0.5,0.336760925,0.393162393,0.666666667,0.571428571,0.652173913,0.666666667,0.571428571,0.652173913
FlowOCT,compas_enc.csv,CSP,0.22,3101,2,0,10800,2,2031,0.654950016,0,5307,4937.143654,0.685029164,0.655759162,1,0.331754658,0.5375,0.211919699,0.295180723,0.393410853,0.351937984,1,0.186550976,0.5,0.280701754,1,0.462962963,0.5,0.336760925,0.393162393,0.666666667,0.571428571,0.652173913,0.666666667,0.571428571,0.652173913
FlowOCT,compas_enc.csv,CSP,0.23,3101,2,0,10800,2,2031,0.654950016,0,6429,4631.975306,0.685029164,0.655759162,1,0.331754658,0.5375,0.211919699,0.295180723,0.393410853,0.351937984,1,0.186550976,0.5,0.280701754,1,0.462962963,0.5,0.336760925,0.393162393,0.666666667,0.571428571,0.652173913,0.666666667,0.571428571,0.652173913
FlowOCT,compas_enc.csv,CSP,0.24,3101,2,0,10800,2,2031,0.654950016,0,5433,3774.644016,0.685029164,0.655759162,1,0.331754658,0.5375,0.211919699,0.295180723,0.393410853,0.351937984,1,0.186550976,0.5,0.280701754,1,0.462962963,0.5,0.336760925,0.393162393,0.666666667,0.571428571,0.652173913,0.666666667,0.571428571,0.652173913
FlowOCT,compas_enc.csv,CSP,0.25,3101,2,0,10800,2,2031,0.654950016,0,8239,6626.323188,0.685029164,0.655759162,1,0.331754658,0.5375,0.211919699,0.295180723,0.393410853,0.351937984,1,0.186550976,0.5,0.280701754,1,0.462962963,0.5,0.336760925,0.393162393,0.666666667,0.571428571,0.652173913,0.666666667,0.571428571,0.652173913
FlowOCT,compas_enc.csv,CSP,0.26,3101,2,0,10800,2,2031,0.654950016,0,5656,3908.575017,0.685029164,0.655759162,1,0.331754658,0.5375,0.211919699,0.295180723,0.393410853,0.351937984,1,0.186550976,0.5,0.280701754,1,0.462962963,0.5,0.336760925,0.393162393,0.666666667,0.571428571,0.652173913,0.666666667,0.571428571,0.652173913
FlowOCT,compas_enc.csv,CSP,0.27,3101,2,0,10800,2,2034,0.655917446,0,5245,5895.617018,0.67595593,0.668193717,1,0.331754658,0.405201863,0.211919699,0.356049039,0.393410853,0.525193798,1,0.260303688,0.5,0.277777778,1,1,0.302325581,0.336760925,0.336182336,0.701754386,0.678571429,0.630434783,0.701754386,0.678571429,0.630434783
FlowOCT,compas_enc.csv,CSP,0.28,3101,2,0,10800,2,2034,0.655917446,0,7656,5576.683537,0.67595593,0.668193717,1,0.331754658,0.405201863,0.211919699,0.356049039,0.393410853,0.525193798,1,0.260303688,0.5,0.277777778,1,1,0.302325581,0.336760925,0.336182336,0.701754386,0.678571429,0.630434783,0.701754386,0.678571429,0.630434783
FlowOCT,compas_enc.csv,CSP,0.29,3101,2,0,10800,2,2034,0.655917446,0,4961,3760.40478,0.67595593,0.668193717,1,0.331754658,0.405201863,0.211919699,0.356049039,0.393410853,0.525193798,1,0.260303688,0.5,0.277777778,1,1,0.302325581,0.336760925,0.336182336,0.701754386,0.678571429,0.630434783,0.701754386,0.678571429,0.630434783
