approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,adult_train_calibration_1.csv,1,SP,0.2,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.9587,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.31,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.74232,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.32,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10801.74839,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.33,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10802.66786,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.34,22611,1,2,0,10800,9,17513,0.774534519,29.10980415,1,10800.73465,0.772666962,0.771802583,0.198818593,0.041582149,0.198968827,0.034082211,0.198999728,0.036212737
FlowOCT,adult_train_calibration_1.csv,1,SP,0.35,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10804.63931,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.36,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.70349,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.37,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10805.31022,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.38,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.78451,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.39,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.95631,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.3,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.72275,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.41,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.93232,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.42,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.99324,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.43,22611,1,2,0,10800,9,17513,0.774534519,29.10980415,1,10800.7233,0.772666962,0.771802583,0.198818593,0.041582149,0.198968827,0.034082211,0.198999728,0.036212737
FlowOCT,adult_train_calibration_1.csv,1,SP,0.44,22611,1,2,0,10800,9,17678,0.781831852,27.90474036,1,10800.68009,0.778239717,0.778790023,0.198818593,0.058576025,0.198968827,0.048581074,0.198999728,0.055884657
FlowOCT,adult_train_calibration_1.csv,1,SP,0.45,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.9877,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.46,22611,1,2,0,10800,9,17513,0.774534519,29.10980415,1,10800.67934,0.772666962,0.771802583,0.198818593,0.041582149,0.198968827,0.034082211,0.198999728,0.036212737
FlowOCT,adult_train_calibration_1.csv,1,SP,0.47,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.69893,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.48,22611,1,2,0,10800,9,17513,0.774534519,29.10980415,1,10800.63158,0.772666962,0.771802583,0.198818593,0.041582149,0.198968827,0.034082211,0.198999728,0.036212737
FlowOCT,adult_train_calibration_1.csv,1,SP,0.49,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.72549,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.4,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.67085,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.51,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.72336,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.52,22611,1,2,0,10800,9,17513,0.774534519,29.10980415,1,10800.75248,0.772666962,0.771802583,0.198818593,0.041582149,0.198968827,0.034082211,0.198999728,0.036212737
FlowOCT,adult_train_calibration_1.csv,1,SP,0.53,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.79288,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.54,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.80362,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.55,22611,1,2,0,10800,9,17007,0.75215603,32.95113777,1,10800.76108,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.5,22611,1,2,0,10800,9,17689,0.782318341,27.8252021,1,10800.63858,0.785316232,0.784892977,0.198818593,0.052866059,0.198968827,0.051868564,0.198999728,0.05754814
FlowOCT,adult_train_calibration_1.csv,1,None,1,22611,1,3,0,10800,9,17007,0.75215603,32.95113777,0,10802.02189,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.01,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10801.73389,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.02,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10801.75774,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.03,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10802.17582,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.04,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10801.86492,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.05,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10801.86935,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.06,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10801.57813,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.07,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10801.59834,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
FlowOCT,adult_train_calibration_1.csv,1,SP,0.08,22611,1,3,0,10800,9,17007,0.75215603,1894.214147,0,10801.81621,0.752145069,0.752166991,0.198818593,0,0.198968827,0,0.198999728,0
