approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred
FlowOCT,compas_enc.csv,None,1,3101,1,0,7200,2,-7220,0.6717188,0,39,21.76162314,0.656513286,0.642670157,3,0.891304348,0.454545455,1,1,0.519417476,1
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,7200,9,-19627,0.670751371,1.217710297,1687,7206.343834,0.688917693,0.692408377,3,0.891304348,0,1,0,0.519417476,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,7200,9,-19627,0.670751371,1.640597137,1859,7206.248335,0.688917693,0.692408377,3,0.891304348,0,1,0,0.519417476,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,7200,9,-19627,0.670751371,4.483619504,1049,7206.28809,0.688917693,0.692408377,3,0.891304348,0,1,0,0.519417476,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,7200,9,-19621,0.67268623,4.464604251,1401,7205.694259,0.686973428,0.683246073,3,0.891304348,0.082568807,1,0.078125,0.519417476,0.095982143
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,7200,9,-19621,0.67268623,5.066000714,1748,7205.354651,0.686973428,0.683246073,3,0.891304348,0.082568807,1,0.078125,0.519417476,0.095982143
FlowOCT,compas_enc.csv,CSP,0.5,3101,2,0,7200,9,-19476,0.71944534,4.184637503,2280,7205.85323,0.733635774,0.744764398,3,0.891304348,0.5,1,0.471698113,0.519417476,0.402912621
FlowOCT,compas_enc.csv,None,1,3101,2,0,7200,2,-19474,0.720090293,0,1276,152.0736461,0.731043422,0.740183246,3,0.891304348,0.5,1,0.5,0.519417476,0.402912621
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,7200,2,-7175,0.686230248,0,25,236.2933962,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,1,0,7200,2,-7175,0.686230248,0,27,427.2402303,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,1,0,7200,2,-7175,0.686230248,0,33,355.2295084,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
