Approach,train_file_name,test_file_name,kamiran_version,N_train,depth,lambda,time_limit,obj_val,gap,train_acc,train_data_didi,train_pred_didi,train_data_sp,train_pred_sp,test_acc,test_data_didi,test_pred_didi,test_data_sp,test_pred_sp,calibration_acc,calibration_data_didi,calibration_pred_didi,calibration_data_sp,calibration_pred_sp,tree
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.02,10800,0.27825202874006816,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.04,10800,0.2738373908134696,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.06,10800,0.26942275288687095,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.08,10800,0.26500811496027254,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.0,10800,0.2826666666666666,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.12,10800,0.2561788391070752,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.14,10800,0.25176420118047693,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.16,10800,0.24734956325387814,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.18,10800,0.24293431796100518,0.0,0.7133333333333334,0.2749277082061267,0.043709173857444134,0.1374638541030634,0.02185458692872211,0.7,0.3714495335918666,0.0035635677601928498,0.1857247667959333,0.0017817838800964214,0.7,0.3714495335918666,0.0035635677601928498,0.1857247667959333,0.0017817838800964214,"Any[Any[(1, :credit_history, ""Any[1]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.1,10800,0.26059347703367397,0.0,0.7173333333333334,0.2749277082061267,0.06193477033674724,0.1374638541030634,0.030967385168373607,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,0.716,0.3714495335918666,0.01697935226915416,0.1857247667959333,0.008489676134577073,"Any[Any[(1, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0)]]",
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,1,0.22,10800,0.23321601824863572,0.0,0.7133333333333334,0.2749277082061267,0.043709173857444134,0.1374638541030634,0.02185458692872211,0.7,0.3714495335918666,0.0035635677601928498,0.1857247667959333,0.0017817838800964214,0.7,0.3714495335918666,0.0035635677601928498,0.1857247667959333,0.0017817838800964214,"Any[Any[(1, :credit_history, ""Any[1]"")], Any[(1, -0.0), (2, 1.0)]]",
