dataset,split,method,seed,classifier,metric,test_acc,test_disp,train_acc,train_disp,hyp,time
adult,1,correlation_remover,1,RF,DP,0.8180612650842063,0.19154462594193558,0.9315238053136466,0.1894656024805325,0.0,0.5576343536376953
adult,1,correlation_remover,1,RF,DP,0.8159395305662379,0.2037118140450011,0.9334246938685292,0.19203899090668788,0.1111111111111111,0.6179945468902588
adult,1,correlation_remover,1,RF,DP,0.8162047473809839,0.2047094573504077,0.9334246938685292,0.19216983814254004,0.2222222222222222,0.5624685287475586
adult,1,correlation_remover,1,RF,DP,0.816337355788357,0.20430062660633574,0.9334246938685292,0.19216983814254004,0.3333333333333333,0.6567647457122803
adult,1,correlation_remover,1,RF,DP,0.8158069221588649,0.20312300148366647,0.9334246938685292,0.19203899090668788,0.4444444444444444,0.6299896240234375
adult,1,correlation_remover,1,RF,DP,0.8156743137514918,0.2044643193870829,0.9334246938685292,0.1920608582337264,0.5555555555555556,0.6980118751525879
adult,1,correlation_remover,1,RF,DP,0.8158069221588649,0.20448060842359841,0.9334246938685292,0.19193001099787424,0.6666666666666666,0.6154041290283203
adult,1,correlation_remover,1,RF,DP,0.8158069221588649,0.20487315013115484,0.9334246938685292,0.19193001099787424,0.7777777777777777,0.6195154190063477
adult,1,correlation_remover,1,RF,DP,0.8158069221588649,0.20448060842359841,0.9334246938685292,0.19193001099787424,0.8888888888888888,0.5930933952331543
adult,1,correlation_remover,1,RF,DP,0.816337355788357,0.20469316831389217,0.9334246938685292,0.19179916376202213,1.0,0.662891149520874
adult,1,correlation_remover,1,RF,TPR,0.8180612650842063,0.08723302783664244,0.9315238053136466,0.07934440440143198,0.0,0.5773966312408447
adult,1,correlation_remover,1,RF,TPR,0.8159395305662379,0.12492520055250361,0.9334246938685292,0.08190070832639695,0.1111111111111111,0.5478112697601318
adult,1,correlation_remover,1,RF,TPR,0.8162047473809839,0.12617598229109023,0.9334246938685292,0.08169224470329928,0.2222222222222222,0.6007950305938721
adult,1,correlation_remover,1,RF,TPR,0.816337355788357,0.12680137316038348,0.9334246938685292,0.08169224470329928,0.3333333333333333,0.620661735534668
adult,1,correlation_remover,1,RF,TPR,0.8158069221588649,0.123674418813917,0.9334246938685292,0.08190070832639695,0.4444444444444444,0.6353580951690674
adult,1,correlation_remover,1,RF,TPR,0.8156743137514918,0.12742676402967684,0.9334246938685292,0.08033648128401594,0.5555555555555556,0.6851592063903809
adult,1,correlation_remover,1,RF,TPR,0.8158069221588649,0.13102388633183515,0.9334246938685292,0.08054494490711372,0.6666666666666666,0.6132562160491943
adult,1,correlation_remover,1,RF,TPR,0.8158069221588649,0.12742676402967684,0.9334246938685292,0.08054494490711372,0.7777777777777777,0.5548114776611328
adult,1,correlation_remover,1,RF,TPR,0.8158069221588649,0.12680137316038348,0.9334246938685292,0.08054494490711372,0.8888888888888888,0.6642756462097168
adult,1,correlation_remover,1,RF,TPR,0.816337355788357,0.12742676402967684,0.9334246938685292,0.0807534085302114,1.0,0.542382001876831
adult,1,correlation_remover,1,RF,FPR,0.8180612650842063,0.09938717522186663,0.9315238053136466,0.049416731717354584,0.0,0.5394666194915771
adult,1,correlation_remover,1,RF,FPR,0.8159395305662379,0.10967410303393652,0.9334246938685292,0.05139456004970365,0.1111111111111111,0.6369485855102539
adult,1,correlation_remover,1,RF,FPR,0.8162047473809839,0.110421398836414,0.9334246938685292,0.0514899071130141,0.2222222222222222,0.7690846920013428
adult,1,correlation_remover,1,RF,FPR,0.816337355788357,0.10967410303393652,0.9334246938685292,0.0514899071130141,0.3333333333333333,0.6122429370880127
adult,1,correlation_remover,1,RF,FPR,0.8158069221588649,0.10938806184400518,0.9334246938685292,0.05139456004970365,0.4444444444444444,0.6054489612579346
adult,1,correlation_remover,1,RF,FPR,0.8156743137514918,0.10989575856856966,0.9334246938685292,0.05132076945871962,0.5555555555555556,0.6437592506408691
adult,1,correlation_remover,1,RF,FPR,0.8158069221588649,0.10932367618870696,0.9334246938685292,0.05122542239540917,0.6666666666666666,0.6252274513244629
adult,1,correlation_remover,1,RF,FPR,0.8158069221588649,0.11035701318111578,0.9334246938685292,0.05122542239540917,0.7777777777777777,0.5769047737121582
adult,1,correlation_remover,1,RF,FPR,0.8158069221588649,0.11007097199118444,0.9334246938685292,0.05122542239540917,0.8888888888888888,0.6445634365081787
adult,1,correlation_remover,1,RF,FPR,0.816337355788357,0.10996014422386788,0.9334246938685292,0.05113007533209872,1.0,0.734006404876709
adult,1,correlation_remover,1,RF,EO,0.8180612650842063,0.09938717522186663,0.9315238053136466,0.07934440440143198,0.0,0.6033830642700195
adult,1,correlation_remover,1,RF,EO,0.8159395305662379,0.12492520055250361,0.9334246938685292,0.08190070832639695,0.1111111111111111,0.6431095600128174
adult,1,correlation_remover,1,RF,EO,0.8162047473809839,0.12617598229109023,0.9334246938685292,0.08169224470329928,0.2222222222222222,0.6707921028137207
adult,1,correlation_remover,1,RF,EO,0.816337355788357,0.12680137316038348,0.9334246938685292,0.08169224470329928,0.3333333333333333,0.618567705154419
adult,1,correlation_remover,1,RF,EO,0.8158069221588649,0.123674418813917,0.9334246938685292,0.08190070832639695,0.4444444444444444,0.6971898078918457
adult,1,correlation_remover,1,RF,EO,0.8156743137514918,0.12742676402967684,0.9334246938685292,0.08033648128401594,0.5555555555555556,0.6847951412200928
adult,1,correlation_remover,1,RF,EO,0.8158069221588649,0.13102388633183515,0.9334246938685292,0.08054494490711372,0.6666666666666666,0.5553054809570312
adult,1,correlation_remover,1,RF,EO,0.8158069221588649,0.12742676402967684,0.9334246938685292,0.08054494490711372,0.7777777777777777,0.6413586139678955
adult,1,correlation_remover,1,RF,EO,0.8158069221588649,0.12680137316038348,0.9334246938685292,0.08054494490711372,0.8888888888888888,0.6800484657287598
adult,1,correlation_remover,1,RF,EO,0.816337355788357,0.12742676402967684,0.9334246938685292,0.0807534085302114,1.0,0.600264310836792
adult,1,correlation_remover,1,LR,DP,0.7656809441718605,0.13421989557363487,0.7675169090667964,0.11997348452824183,0.0,0.8059654235839844
adult,1,correlation_remover,1,LR,DP,0.763161384431773,0.12365464995823425,0.7660138809071217,0.1097723318739657,0.1111111111111111,0.551295280456543
adult,1,correlation_remover,1,LR,DP,0.7610396499138046,0.11331825326964293,0.7658370540648071,0.09970202645554174,0.2222222222222222,0.6766245365142822
adult,1,correlation_remover,1,LR,DP,0.7603766078769394,0.09805959861567264,0.7649087131426551,0.08546065325874896,0.3333333333333333,0.564873218536377
adult,1,correlation_remover,1,LR,DP,0.758387481766344,0.08404372523043371,0.763449891693559,0.06998169815312053,0.4444444444444444,0.553147554397583
adult,1,correlation_remover,1,LR,DP,0.758387481766344,0.0692916355396285,0.7620794836656204,0.0540449560851991,0.5555555555555556,0.7734191417694092
adult,1,correlation_remover,1,LR,DP,0.7556027052115104,0.04693465207661143,0.7592944608991645,0.03484232158954421,0.6666666666666666,0.8670837879180908
