dataset,split,method,seed,classifier,metric,test_acc,test_disp,train_acc,train_disp,hyp,time
german_binary,1,correlation_remover,1,RF,DP,0.756,0.14516298081962054,0.9986666666666667,0.14445686109607037,0.0,0.20747160911560059
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,0.1111111111111111,0.19844293594360352
german_binary,1,correlation_remover,1,RF,DP,0.776,0.33015407190022006,1.0,0.1374638541030634,0.2222222222222222,0.21061372756958008
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,0.3333333333333333,0.1842670440673828
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,0.4444444444444444,0.22020387649536133
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,0.5555555555555556,0.21233177185058594
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,0.6666666666666666,0.2019059658050537
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,0.7777777777777777,0.24968338012695312
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,0.8888888888888888,0.20426225662231445
german_binary,1,correlation_remover,1,RF,DP,0.772,0.3350801802746044,1.0,0.1374638541030634,1.0,0.23918437957763672
german_binary,1,correlation_remover,1,RF,TPR,0.756,0.16410256410256407,0.9986666666666667,0.011904761904761862,0.0,0.2256183624267578
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,0.1111111111111111,0.19928836822509766
german_binary,1,correlation_remover,1,RF,TPR,0.776,0.25435897435897437,1.0,0.0,0.2222222222222222,0.19735169410705566
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,0.3333333333333333,0.16574597358703613
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,0.4444444444444444,0.1770033836364746
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,0.5555555555555556,0.19979405403137207
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,0.6666666666666666,0.23298859596252441
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,0.7777777777777777,0.24347829818725586
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,0.8888888888888888,0.19600892066955566
german_binary,1,correlation_remover,1,RF,TPR,0.772,0.25435897435897437,1.0,0.0,1.0,0.21102190017700195
