sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
1,0.2,3,81.037,0.23635,79.845,0.2485,79.815,0.038929,77.74,0.033387
1,0.21,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.21,2,80.778,0.23937,79.845,0.25505,76.556,0.0027156,75.049,0.00049112
1,0.21,3,81.037,0.23635,79.845,0.2485,79.815,0.038929,77.74,0.033387
1,0.22,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.22,2,80.778,0.23937,79.845,0.25505,76.556,0.0027156,75.049,0.00049112
1,0.22,3,81.037,0.23635,79.845,0.2485,79.815,0.038929,77.74,0.033387
1,0.23,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.23,2,80.778,0.23937,79.845,0.25505,76.556,0.0027156,75.049,0.00049112
1,0.23,3,81.037,0.23635,79.845,0.2485,79.815,0.038929,77.74,0.033387
1,0.24,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.24,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.24,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.25,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.25,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.25,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.26,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.26,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.26,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.27,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.27,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.27,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.28,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.28,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.28,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.29,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.29,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.29,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.3,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.3,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.3,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.31,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.31,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.31,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.32,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.32,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.32,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.33,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.33,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.33,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.34,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.34,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.34,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.35,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.35,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.35,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.36,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.36,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.36,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.37,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.37,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.37,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.38,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.38,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.38,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.39,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.39,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.39,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.4,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.4,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.4,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.41,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.41,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.41,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.42,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.42,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.42,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.43,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.43,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.43,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.44,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.44,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.44,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.45,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.45,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.45,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.46,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.46,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
1,0.46,3,81.037,0.23635,79.845,0.2485,81.037,0.23635,79.845,0.2485
1,0.47,1,76.259,-9.83E-07,74.995,-9.72E-09,76.259,-9.83E-07,74.995,-9.72E-09
1,0.47,2,80.778,0.23937,79.845,0.25505,80.778,0.23937,79.845,0.25505
