sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
3,0.6,1,74.944,0.39609,73.946,0.40141,74.944,0.39609,73.946,0.40141
3,0.6,2,80.667,0.25659,79.79,0.25455,80.667,0.25659,79.79,0.25455
3,0.6,3,83,0.24237,81.152,0.2467,83,0.24237,81.152,0.2467
3,0.65,1,74.944,0.39609,73.946,0.40141,74.944,0.39609,73.946,0.40141
3,0.65,2,80.667,0.25659,79.79,0.25455,80.667,0.25659,79.79,0.25455
3,0.65,3,83,0.24237,81.152,0.2467,83,0.24237,81.152,0.2467
3,0.7,1,74.944,0.39609,73.946,0.40141,74.944,0.39609,73.946,0.40141
3,0.7,2,80.667,0.25659,79.79,0.25455,80.667,0.25659,79.79,0.25455
3,0.7,3,83,0.24237,81.152,0.2467,83,0.24237,81.152,0.2467
3,0.75,1,74.944,0.39609,73.946,0.40141,74.944,0.39609,73.946,0.40141
3,0.75,2,80.667,0.25659,79.79,0.25455,80.667,0.25659,79.79,0.25455
3,0.75,3,83,0.24237,81.152,0.2467,83,0.24237,81.152,0.2467
3,0.8,1,74.944,0.39609,73.946,0.40141,74.944,0.39609,73.946,0.40141
3,0.8,2,80.667,0.25659,79.79,0.25455,80.667,0.25659,79.79,0.25455
3,0.8,3,83,0.24237,81.152,0.2467,83,0.24237,81.152,0.2467
3,0.85,1,74.944,0.39609,73.946,0.40141,74.944,0.39609,73.946,0.40141
3,0.85,2,80.667,0.25659,79.79,0.25455,80.667,0.25659,79.79,0.25455
3,0.85,3,83,0.24237,81.152,0.2467,83,0.24237,81.152,0.2467
3,0.9,1,74.944,0.39609,73.946,0.40141,74.944,0.39609,73.946,0.40141
3,0.9,2,80.667,0.25659,79.79,0.25455,80.667,0.25659,79.79,0.25455
3,0.9,3,83,0.24237,81.152,0.2467,83,0.24237,81.152,0.2467
4,0.01,1,78.444,0.066889,77.919,0.054229,74.5,0,74.048,-0.032476
4,0.01,2,81.111,0.080574,79.761,0.076802,75.222,0,74.805,-0.016887
4,0.01,3,83.222,0.13868,81.717,0.14268,75.722,0,74.135,-0.020977
4,0.05,1,78.444,0.066889,77.919,0.054229,78.056,0.041052,76.833,0.021753
4,0.05,2,81.111,0.080574,79.761,0.076802,78.944,0.042277,77.489,0.032972
4,0.05,3,83.222,0.13868,81.717,0.14268,79.889,0.04483,78.359,0.047339
4,0.1,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.1,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.1,3,83.222,0.13868,81.717,0.14268,81.444,0.077102,79.757,0.07327
4,0.15,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.15,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.15,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.2,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.2,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.2,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.25,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.25,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.25,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.3,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.3,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.3,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.35,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.35,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.35,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.4,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.4,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.4,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.45,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.45,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.45,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.5,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.5,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.5,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.55,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.55,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.55,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.6,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.6,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.6,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.65,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.65,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.65,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.7,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.7,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.7,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.75,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.75,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.75,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.8,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.8,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.8,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.85,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.85,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.85,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
4,0.9,1,78.444,0.066889,77.919,0.054229,78.444,0.066889,77.919,0.054229
4,0.9,2,81.111,0.080574,79.761,0.076802,81.111,0.080574,79.761,0.076802
4,0.9,3,83.222,0.13868,81.717,0.14268,83.222,0.13868,81.717,0.14268
5,0.01,1,78.234,0.043252,78.363,0.054999,58.079,0,56.766,-0.25409
5,0.01,2,81.621,0.12217,81.356,0.13952,58.023,0,56.605,-0.25805
5,0.01,3,83.065,0.13623,81.757,0.15496,64.187,0,61.977,-0.19687
5,0.05,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.05,2,81.621,0.12217,81.356,0.13952,78.179,0.038474,78.203,0.051033
5,0.05,3,83.065,0.13623,81.757,0.15496,64.187,0,61.977,-0.19687
5,0.1,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.1,2,81.621,0.12217,81.356,0.13952,78.179,0.038474,78.203,0.051033
5,0.1,3,83.065,0.13623,81.757,0.15496,80.9,0.070124,79.27,0.077314
5,0.15,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.15,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.15,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.2,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.2,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.2,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.25,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.25,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.25,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.3,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.3,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.3,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.35,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.35,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.35,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.4,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.4,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.4,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.45,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.45,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.45,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.5,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.5,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.5,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.55,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.55,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.55,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.6,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.6,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.6,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.65,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.65,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.65,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.7,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.7,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.7,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.75,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.75,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.75,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.8,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.8,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.8,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.85,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.85,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.85,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
5,0.9,1,78.234,0.043252,78.363,0.054999,78.234,0.043252,78.363,0.054999
5,0.9,2,81.621,0.12217,81.356,0.13952,81.621,0.12217,81.356,0.13952
5,0.9,3,83.065,0.13623,81.757,0.15496,83.065,0.13623,81.757,0.15496
