approach,data,sample,fair type,fair bound,nrow,calibration_mode,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred
FlowOCT,default_train_calibration_1.csv,1,SP,0.23,3333,1,2,0,10800,9,2716,0.814881488,22.68041237,4582,10800.72234,0.81916,0.813437313,-0.046348567,-0.023534976,-0.031345747,-0.01237509,-0.046672224,-0.004388407
FlowOCT,default_train_calibration_1.csv,1,SP,0.24,3333,1,2,0,10800,9,2717,0.815181518,22.67206478,4971,10800.51368,0.819,0.814037193,-0.046348567,-0.023816529,-0.031345747,-0.012435804,-0.046672224,-0.005403635
FlowOCT,default_train_calibration_1.csv,1,SP,0.25,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,6713,10800.86657,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.26,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,2425,10800.24906,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.27,3333,1,2,0,10800,9,2717,0.815181518,22.63525948,3654,10800.84536,0.819,0.814037193,-0.046348567,-0.023816529,-0.031345747,-0.012435804,-0.046672224,-0.005403635
FlowOCT,default_train_calibration_1.csv,1,SP,0.28,3333,1,2,0,10800,9,2707,0.812181218,17.6579239,5075,10800.63496,0.81352,0.815236953,-0.046348567,-0.021798362,-0.031345747,-0.014221999,-0.046672224,-0.022771187
FlowOCT,default_train_calibration_1.csv,1,SP,0.29,3333,1,2,0,10800,9,2717,0.815181518,22.67206478,3228,10800.37449,0.819,0.814037193,-0.046348567,-0.023816529,-0.031345747,-0.012435804,-0.046672224,-0.005403635
FlowOCT,default_train_calibration_1.csv,1,SP,0.2,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,9680,10800.62906,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.31,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,4014,10800.27822,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.32,3333,1,2,0,10800,9,2722,0.816681668,18.80969875,6324,10800.9218,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.33,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,6685,10800.52354,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.34,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,5556,10800.33059,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.35,3333,1,2,0,10800,9,2722,0.816681668,22.44673035,3983,10800.70797,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.36,3333,1,2,0,10800,9,2717,0.815181518,14.61170409,10349,10801.22654,0.819,0.814037193,-0.046348567,-0.023816529,-0.031345747,-0.012435804,-0.046672224,-0.005403635
FlowOCT,default_train_calibration_1.csv,1,SP,0.37,3333,1,2,0,10800,9,2722,0.816681668,20.72005878,10489,10801.02045,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.38,3333,1,2,0,10800,9,2722,0.816681668,20.72005878,7851,10800.78229,0.81992,0.812837433,-0.046348567,-0.027369828,-0.031345747,-0.011548166,-0.046672224,-0.007434092
FlowOCT,default_train_calibration_1.csv,1,SP,0.39,3333,1,2,0,10800,9,2717,0.815181518,20.94221568,7577,10800.74363,0.819,0.814037193,-0.046348567,-0.023816529,-0.031345747,-0.012435804,-0.046672224,-0.005403635
