dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
2,0.2,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.25,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.25,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.25,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.3,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.3,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.3,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.35,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.35,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.35,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.4,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.4,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.4,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.45,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.45,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.45,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.5,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.5,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.5,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.55,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.55,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.55,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.6,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.6,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.6,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.65,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.65,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.65,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.7,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.7,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.7,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.75,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.75,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.75,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.8,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.8,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.8,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.85,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.85,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.85,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
2,0.9,1,65.911,0.15891,66.991,0.184,65.911,0.15891,66.991,0.184
2,0.9,2,67.434,0.18445,68.677,0.19129,67.434,0.18445,68.677,0.19129
2,0.9,3,68.568,0.19161,67.056,0.16211,68.568,0.19161,67.056,0.16211
3,0.01,1,66.008,0.12689,64.397,0.16946,56.351,0,56.874,0.016357
3,0.01,2,67.336,0.17236,67.315,0.23203,57.647,0,57.069,0.047749
3,0.01,3,68.6,0.17492,68.288,0.22657,61.147,0.0077752,60.83,0.083507
