dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
3,0.2,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.2,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.2,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.25,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.25,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.25,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.3,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.3,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.3,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.35,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.35,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.35,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.4,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.4,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.4,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.45,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.45,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.45,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.5,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.5,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.5,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.55,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.55,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.55,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
