dataset,split,method,seed,classifier,metric,acc,disp,hyp,time
german_binary,1,correlation_remover,1,LR,EO,0.76,0.1958670260557052,0.1111111111111111,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.1958670260557052,0.2222222222222222,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.1958670260557052,0.3333333333333333,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.4444444444444444,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.5555555555555556,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.6666666666666666,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,0.7777777777777777,
german_binary,1,correlation_remover,1,LR,EO,0.764,0.2623539982030548,0.8888888888888888,
german_binary,1,correlation_remover,1,LR,EO,0.76,0.2434860736747529,1.0,
german_binary,1,correlation_remover,1,DT,DP,0.696,0.0513573000733675,0.0,
german_binary,1,correlation_remover,1,DT,DP,0.66,0.1743003878000208,0.1111111111111111,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.2222222222222222,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.3333333333333333,
german_binary,1,correlation_remover,1,DT,DP,0.66,0.1743003878000208,0.4444444444444444,
german_binary,1,correlation_remover,1,DT,DP,0.66,0.1743003878000208,0.5555555555555556,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.6666666666666666,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.7777777777777777,
german_binary,1,correlation_remover,1,DT,DP,0.656,0.1792264961744051,0.8888888888888888,
german_binary,1,correlation_remover,1,DT,DP,0.652,0.1841526045487893,1.0,
german_binary,1,correlation_remover,1,DT,TPR,0.696,0.0425641025641025,0.0,
german_binary,1,correlation_remover,1,DT,TPR,0.66,0.1328205128205127,0.1111111111111111,
german_binary,1,correlation_remover,1,DT,TPR,0.656,0.1328205128205127,0.2222222222222222,
german_binary,1,correlation_remover,1,DT,TPR,0.656,0.1328205128205127,0.3333333333333333,
german_binary,1,correlation_remover,1,DT,TPR,0.66,0.1328205128205127,0.4444444444444444,
german_binary,1,correlation_remover,1,DT,TPR,0.66,0.1328205128205127,0.5555555555555556,
german_binary,1,correlation_remover,1,DT,TPR,0.656,0.1328205128205127,0.6666666666666666,
german_binary,1,correlation_remover,1,DT,TPR,0.656,0.1328205128205127,0.7777777777777777,
german_binary,1,correlation_remover,1,DT,TPR,0.656,0.1328205128205127,0.8888888888888888,
german_binary,1,correlation_remover,1,DT,TPR,0.652,0.1328205128205127,1.0,
german_binary,1,correlation_remover,1,DT,FPR,0.696,0.0709793351302785,0.0,
german_binary,1,correlation_remover,1,DT,FPR,0.66,0.1653189577717879,0.1111111111111111,
german_binary,1,correlation_remover,1,DT,FPR,0.656,0.1841868823000898,0.2222222222222222,
german_binary,1,correlation_remover,1,DT,FPR,0.656,0.1841868823000898,0.3333333333333333,
german_binary,1,correlation_remover,1,DT,FPR,0.66,0.1653189577717879,0.4444444444444444,
german_binary,1,correlation_remover,1,DT,FPR,0.66,0.1653189577717879,0.5555555555555556,
german_binary,1,correlation_remover,1,DT,FPR,0.656,0.1841868823000898,0.6666666666666666,
german_binary,1,correlation_remover,1,DT,FPR,0.656,0.1841868823000898,0.7777777777777777,
german_binary,1,correlation_remover,1,DT,FPR,0.656,0.1841868823000898,0.8888888888888888,
german_binary,1,correlation_remover,1,DT,FPR,0.652,0.2030548068283917,1.0,
german_binary,1,correlation_remover,1,DT,EO,0.696,0.0709793351302785,0.0,
german_binary,1,correlation_remover,1,DT,EO,0.66,0.1653189577717879,0.1111111111111111,
german_binary,1,correlation_remover,1,DT,EO,0.656,0.1841868823000898,0.2222222222222222,
german_binary,1,correlation_remover,1,DT,EO,0.656,0.1841868823000898,0.3333333333333333,
german_binary,1,correlation_remover,1,DT,EO,0.66,0.1653189577717879,0.4444444444444444,
german_binary,1,correlation_remover,1,DT,EO,0.66,0.1653189577717879,0.5555555555555556,
german_binary,1,correlation_remover,1,DT,EO,0.656,0.1841868823000898,0.6666666666666666,
german_binary,1,correlation_remover,1,DT,EO,0.656,0.1841868823000898,0.7777777777777777,
german_binary,1,correlation_remover,1,DT,EO,0.656,0.1841868823000898,0.8888888888888888,
german_binary,1,correlation_remover,1,DT,EO,0.652,0.2030548068283917,1.0,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.0,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.1111111111111111,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.2222222222222222,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.3333333333333333,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.4444444444444444,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.5555555555555556,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.6666666666666666,
german_binary,1,correlation_remover,1,SVM,DP,0.74,0.007651189602767,0.7777777777777777,
german_binary,1,correlation_remover,1,SVM,DP,0.744,0.0136254061419138,0.8888888888888888,
german_binary,1,correlation_remover,1,SVM,DP,0.744,0.0136254061419138,1.0,
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.0,
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.1111111111111111,
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.2222222222222222,
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.3333333333333333,
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.4444444444444444,
