dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
1,0,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.01,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.01,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.01,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.05,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.05,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.05,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.1,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.1,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.1,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.15,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.15,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.15,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.2,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.2,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.2,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.25,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.25,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.25,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.3,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.3,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.3,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.35,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.35,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.35,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.4,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.4,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.4,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.45,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.45,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.45,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.5,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.5,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.5,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
1,0.55,1,71.058,-0.0001024,71.084,-0.0004481,71.058,-0.0001024,71.084,-0.0004481
1,0.55,2,71.257,-0.0001024,70.281,-0.0004481,71.257,-0.0001024,70.281,-0.0004481
1,0.55,3,71.856,-0.0001024,69.88,-0.0004481,71.856,-0.0001024,69.88,-0.0004481
