sample,fair bound,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,train acc,sp train pred,test acc,sp test pred
2,0.1,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.1,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.15,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.15,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.15,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.2,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.2,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.2,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.25,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.25,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.25,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.3,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.3,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.3,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.35,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.35,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.35,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.4,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.4,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.4,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.45,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.45,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.45,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.5,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.5,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.5,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.55,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.55,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.55,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.6,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.6,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.6,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.65,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.65,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.65,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.7,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.7,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.7,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.75,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.75,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.75,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.8,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.8,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.8,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.85,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.85,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.85,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
2,0.9,1,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.9,2,74.778,-2.11E-06,75.14,-9.76E-09,74.778,-2.11E-06,75.14,-9.76E-09
2,0.9,3,74.944,0.0016479,75.06,0.0027703,74.944,0.0016479,75.06,0.0027703
3,0.01,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.01,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.01,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.05,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.05,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.05,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.1,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.1,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.1,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.15,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.15,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.15,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.2,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.2,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.2,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.25,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.25,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.25,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.3,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.3,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.3,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.35,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.35,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.35,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.4,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.4,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.4,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.45,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.45,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.45,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.5,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.5,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.5,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.55,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.55,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.55,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.6,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.6,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.6,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.65,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.65,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.65,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.7,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.7,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.7,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.75,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.75,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.75,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.8,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.8,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.8,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.85,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.85,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.85,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
3,0.9,1,74.833,-0.14053,75.06,-0.14318,74.833,-0.14053,75.06,-0.14318
3,0.9,2,75.056,-0.022971,75.421,-0.017463,75.056,-0.022971,75.421,-0.017463
3,0.9,3,75.167,-0.12993,75.33,-0.13265,75.167,-0.12993,75.33,-0.13265
4,0.01,1,75.056,-0.13021,75.046,-0.14426,75.056,-0.13021,75.046,-0.14426
4,0.01,2,75.056,-0.13021,75.046,-0.14426,75.056,-0.13021,75.046,-0.14426
4,0.01,3,75.111,-0.1442,74.823,-0.15501,75.111,-0.1442,74.823,-0.15501
4,0.05,1,75.056,-0.13021,75.046,-0.14426,75.056,-0.13021,75.046,-0.14426
4,0.05,2,75.056,-0.13021,75.046,-0.14426,75.056,-0.13021,75.046,-0.14426
4,0.05,3,75.111,-0.1442,74.823,-0.15501,75.111,-0.1442,74.823,-0.15501
4,0.1,1,75.056,-0.13021,75.046,-0.14426,75.056,-0.13021,75.046,-0.14426
