"FlowOCT","german-limited_train_1.csv",1,"None",1.0,250,"0",3,0.0,10800,9,205.0,0.82,21.463414634146343,215965.0,10800.293791294098,0.6907630522088354,0.8395061728395061,0.29423660262891804,0.07796876755420734,0.14210751766973662,-0.011244377811094441,0.25565610859728494,0.14253393665158365
"FlowOCT","german-limited_train_1.csv",1,"SP",0.01,250,"0",3,0.0,10800,9,202.0,0.808,16.831683168316832,181133.0,10800.232188224792,0.6506024096385542,0.8148148148148148,0.29423660262891804,0.0064037748567576935,0.14210751766973662,0.03630327693296209,0.25565610859728494,-0.0667420814479639
"FlowOCT","german-limited_train_1.csv",1,"SP",0.02,250,"0",3,0.0,10800,9,203.0,0.812,17.24137931034483,144286.0,10800.17743897438,0.7670682730923695,0.8271604938271605,0.29423660262891804,-0.01595326367823835,0.14210751766973662,0.09745127436281864,0.25565610859728494,-0.08484162895927605
"FlowOCT","german-limited_train_1.csv",1,"SP",0.03,250,"0",3,0.0,10800,9,203.0,0.812,17.24137931034483,241974.0,10800.134853601456,0.6385542168674698,0.8765432098765432,0.29423660262891804,0.01303224356813848,0.14210751766973662,-0.01906189762261723,0.25565610859728494,0.0690045248868778
"FlowOCT","german-limited_train_1.csv",1,"SP",0.04,250,"0",3,0.0,10800,9,202.0,0.808,17.82178217821782,140422.0,10800.238301753998,0.6827309236947792,0.8395061728395061,0.29423660262891804,0.008201325693742323,0.14210751766973662,-0.08138787748982645,0.25565610859728494,0.02149321266968318
"FlowOCT","german-limited_train_1.csv",1,"SP",0.05,250,"0",3,0.0,10800,9,206.0,0.824,15.53398058252427,159143.0,10800.235662698746,0.6987951807228916,0.8641975308641975,0.29423660262891804,0.03538928210313452,0.14210751766973662,-0.021096594559862902,0.25565610859728494,0.08371040723981893
"FlowOCT","german-limited_train_1.csv",1,"SP",0.06,250,"0",3,0.0,10800,9,205.0,0.82,16.585365853658537,162844.0,10800.206320047379,0.6385542168674698,0.8395061728395061,0.29423660262891804,0.04898326030783051,0.14210751766973662,-0.078175198115228,0.25565610859728494,0.1459276018099548
"FlowOCT","german-limited_train_1.csv",1,"SP",0.07,250,"0",3,0.0,10800,9,205.0,0.82,17.073170731707318,155380.0,10800.180229187012,0.6947791164658634,0.8641975308641975,0.29423660262891804,0.04988203572632288,0.14210751766973662,-0.003426857999571653,0.25565610859728494,0.05429864253393657
"FlowOCT","german-limited_train_1.csv",1,"SP",0.08,250,"0",3,0.0,10800,9,206.0,0.824,16.50485436893204,130208.0,10800.164195537567,0.6947791164658634,0.8888888888888888,0.29423660262891804,0.044152342433434355,0.14210751766973662,0.07078603555365182,0.25565610859728494,0.05429864253393657
"FlowOCT","german-limited_train_1.csv",1,"SP",0.09,250,"0",3,0.0,10800,9,205.0,0.82,16.585365853658537,188274.0,10800.162892818451,0.7028112449799196,0.8271604938271605,0.29423660262891804,0.030558364228738366,0.14210751766973662,0.03715999143285509,0.25565610859728494,0.09841628959276016
"FlowOCT","german-limited_train_1.csv",1,"SP",0.11,250,"0",3,0.0,10800,9,206.0,0.824,17.475728155339805,164421.0,10800.15836930275,0.6987951807228916,0.8641975308641975,0.29423660262891804,0.03538928210313452,0.14210751766973662,-0.021096594559862902,0.25565610859728494,0.08371040723981893
"FlowOCT","german-limited_train_1.csv",1,"SP",0.12,250,"0",3,0.0,10800,9,205.0,0.82,17.073170731707318,190577.0,10800.207862138748,0.6907630522088354,0.8395061728395061,0.29423660262891804,0.07796876755420734,0.14210751766973662,-0.011244377811094441,0.25565610859728494,0.14253393665158365
"FlowOCT","german-limited_train_1.csv",1,"SP",0.13,250,"0",3,0.0,10800,9,204.0,0.816,18.627450980392158,113504.0,10800.290452957153,0.6867469879518072,0.8271604938271605,0.29423660262891804,0.03718683294011915,0.14210751766973662,0.052795031055900665,0.25565610859728494,0.036199095022624306
"FlowOCT","german-limited_train_1.csv",1,"SP",0.14,250,"0",3,0.0,10800,9,207.0,0.828,17.391304347826086,144375.0,10800.127811670303,0.714859437751004,0.8395061728395061,0.29423660262891804,0.133243455791484,0.14210751766973662,0.08845577211394307,0.25565610859728494,0.05429864253393657
"FlowOCT","german-limited_train_1.csv",1,"SP",0.15,250,"0",3,0.0,10800,9,202.0,0.808,20.2970297029703,100325.0,10800.198296546936,0.6746987951807228,0.8148148148148148,0.29423660262891804,-0.0654982586226267,0.14210751766973662,-0.048939815806382514,0.25565610859728494,-0.011312217194570207
"FlowOCT","german-limited_train_1.csv",1,"SP",0.16,250,"0",3,0.0,10800,9,204.0,0.816,19.607843137254903,141286.0,10800.19754934311,0.6506024096385542,0.8148148148148148,0.29423660262891804,0.14773620941467247,0.14210751766973662,-0.06168344399228953,0.25565610859728494,0.02488687782805421
"FlowOCT","german-limited_train_1.csv",1,"SP",0.17,250,"0",3,0.0,10800,9,206.0,0.824,17.96116504854369,158714.0,10800.17632651329,0.6987951807228916,0.8765432098765432,0.29423660262891804,0.045051117851926725,0.14210751766973662,-0.021096594559862902,0.25565610859728494,0.09841628959276016
"FlowOCT","german-limited_train_1.csv",1,"SP",0.18,250,"0",3,0.0,10800,9,204.0,0.816,19.607843137254903,208071.0,10800.146418333054,0.6827309236947792,0.8641975308641975,0.29423660262891804,0.08976519492191881,0.14210751766973662,0.017776825872777846,0.25565610859728494,0.02488687782805421
