1,0.29,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.29,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.3,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.3,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.31,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.31,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.32,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.32,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.33,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.33,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.34,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.34,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.35,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.35,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.36,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.36,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.37,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.37,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.38,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.38,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
1,0.39,1,75.107,-1.43E-08,75.109,-1.29E-07,75.107,-1.43E-08,75.109,-1.29E-07
1,0.39,2,80.222,0.24603,79.525,0.25906,80.222,0.24603,79.525,0.25906
