approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train data,pe train pred,pe test data,pe test pred,pe cal data,pe cal pred,EOpp train data,EOpp train pred,EOpp test data,EOpp test pred,EOpp cal data,EOpp cal pred
FlowOCT,compas_enc.csv,EOdds,0.15,3101,1,0,10800,2,1741,0.561431796,0,41,225.1132116,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOdds,0.1,3101,1,0,10800,2,1741,0.561431796,0,42,333.4041622,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOdds,0.25,3101,1,0,10800,2,1741,0.561431796,0,41,161.5329132,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOdds,0.2,3101,1,0,10800,2,1741,0.561431796,0,42,189.7850573,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOdds,0.35,3101,1,0,10800,2,1932,0.623024831,0,40,195.2838113,0.62734932,0.632853403,1,0.4125,0.2,0.407234962,0.5,0.8,0.173177083,1,0.5,0.556701031,1,1,0.505703422,1.11E-16,0.022222222,0,0.035502959,1,0.031847134,0,0.333333333,0,1,0,0.27092511
FlowOCT,compas_enc.csv,EOdds,0.3,3101,1,0,10800,2,1741,0.561431796,0,36,148.1624281,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOdds,0.45,3101,1,0,10800,2,2028,0.653982586,0,31,126.6699777,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOdds,0.4,3101,1,0,10800,2,2028,0.653982586,0,39,135.0204902,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOdds,0.55,3101,1,0,10800,2,2028,0.653982586,0,33,96.5542593,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOdds,0.5,3101,1,0,10800,2,2028,0.653982586,0,39,162.2519853,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOdds,0.6,3101,1,0,10800,2,2028,0.653982586,0,35,96.3428762,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOpp,0.01,3101,1,0,10800,2,1723,0.555627217,0,49,66.41747499,0.556059624,0.55039267,1,0.4125,0.000621118,0.407234962,0,0.8,0,1,0.002012072,0.556701031,0,1,0,1.11E-16,0,0,0,1,0,0,0.001091703,0,0,0,0
FlowOCT,compas_enc.csv,EOpp,0.05,3101,1,0,10800,2,1741,0.561431796,0,37,62.67749906,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOpp,0.15,3101,1,0,10800,2,1741,0.561431796,0,47,75.1186018,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
